Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
3469A;Mn;24242.5;31295.0;51769.0;57821.0;72468.0;81000.0;85089.0;75903.0;55124.0;40626.0;26785.0;19771.0;
3469A;Md;23735.4;30693.8;51394.6;59768.1;73488.9;79718.4;85657.5;74985.1;55317.8;39696.7;25287.5;20187.2;
3469A;S;3291.59;4273.62;4985.64;6210.97;6239.51;6366.84;3520.85;3137.91;3349.02;4519.39;4216.43;3226.88;
3469A;Cv;0.14;0.14;0.10;0.10;0.08;0.08;0.04;0.04;0.06;0.11;0.17;0.16;
5973;N;12;12;12;12;13;14;13;13;14;14;13;13;8
5973;Min;;;;;;;;;;;;;
5973;Q1;;;;;;;;;;;;;
5973;Q2;;;;;;;;;;;;;
5973;Q3;;;;;;;;;;;;;
5973;Q4;;;;;;;;;;;;;
5973;Max;;;;;;;;;;;;;
5973;Mn;;;;;;;;;;;;;
5973;Md;;;;;;;;;;;;;
5973;S;;;;;;;;;;;;;
5973;Cv;;;;;;;;;;;;;
5960;N;6;7;6;6;5;6;5;6;5;5;4;8;1
5960;Min;;;;;;;;;;;;;
5960;Q1;;;;;;;;;;;;;
5960;Q2;;;;;;;;;;;;;
5960;Q3;;;;;;;;;;;;;
5960;Q4;;;;;;;;;;;;;
5960;Max;;;;;;;;;;;;;
5960;Mn;;;;;;;;;;;;;
5960;Md;;;;;;;;;;;;;
5960;S;;;;;;;;;;;;;
5960;Cv;;;;;;;;;;;;;
5910;N;0;0;0;0;0;0;0;0;0;0;0;0;0
5910;Min;;;;;;;;;;;;;
5910;Q1;;;;;;;;;;;;;
5910;Q2;;;;;;;;;;;;;
5910;Q3;;;;;;;;;;;;;
5910;Q4;;;;;;;;;;;;;
5910;Max;;;;;;;;;;;;;
5910;Mn;;;;;;;;;;;;;
5910;Md;;;;;;;;;;;;;
5910;S;;;;;;;;;;;;;
5910;Cv;;;;;;;;;;;;;
6001;N;0;0;0;0;0;0;0;0;0;0;0;0;0
6001;Min;;;;;;;;;;;;;
6001;Q1;;;;;;;;;;;;;
6001;Q2;;;;;;;;;;;;;
6001;Q3;;;;;;;;;;;;;
6001;Q4;;;;;;;;;;;;;
6001;Max;;;;;;;;;;;;;
6001;Mn;;;;;;;;;;;;;
6001;Md;;;;;;;;;;;;;
6001;S;;;;;;;;;;;;;
6001;Cv;;;;;;;;;;;;;
1111;N;12;12;11;13;13;13;12;14;13;14;14;13;7
1111;Min;;;;;;;;;;;;;
1111;Q1;;;;;;;;;;;;;
1111;Q2;;;;;;;;;;;;;
1111;Q3;;;;;;;;;;;;;
1111;Q4;;;;;;;;;;;;;
1111;Max;;;;;;;;;;;;;
1111;Mn;;;;;;;;;;;;;
1111;Md;;;;;;;;;;;;;
1111;S;;;;;;;;;;;;;
1111;Cv;;;;;;;;;;;;;
1109;N;0;0;0;0;0;0;0;0;0;0;0;0;0
1109;Min;;;;;;;;;;;;;
1109;Q1;;;;;;;;;;;;;
1109;Q2;;;;;;;;;;;;;
1109;Q3;;;;;;;;;;;;;
1109;Q4;;;;;;;;;;;;;
1109;Max;;;;;;;;;;;;;
1109;Mn;;;;;;;;;;;;;
1109;Md;;;;;;;;;;;;;
1109;S;;;;;;;;;;;;;
1109;Cv;;;;;;;;;;;;;
8500A;N;8;7;8;6;6;5;5;5;7;7;8;8;2
8500A;Min;;;;;;;;;;;;;
8500A;Q1;;;;;;;;;;;;;
8500A;Q2;;;;;;;;;;;;;
8500A;Q3;;;;;;;;;;;;;
8500A;Q4;;;;;;;;;;;;;
8500A;Max;;;;;;;;;;;;;
8500A;Mn;;;;;;;;;;;;;
8500A;Md;;;;;;;;;;;;;
8500A;S;;;;;;;;;;;;;
8500A;Cv;;;;;;;;;;;;;
5000C;N;0;0;0;0;0;0;0;0;0;0;0;0;0
5000C;Min;;;;;;;;;;;;;
5000C;Q1;;;;;;;;;;;;;
5000C;Q2;;;;;;;;;;;;;
5000C;Q3;;;;;;;;;;;;;
5000C;Q4;;;;;;;;;;;;;
5000C;Max;;;;;;;;;;;;;
5000C;Mn;;;;;;;;;;;;;
5000C;Md;;;;;;;;;;;;;
5000C;S;;;;;;;;;;;;;
5000C;Cv;;;;;;;;;;;;;
4121;N;13;13;12;14;14;13;11;14;15;15;15;12;6
4121;Min;;;;;;;;;49050.0;32546.0;14669.0;;
4121;Q1;;;;;;;;;50370.6;34189.0;19686.0;;
4121;Q2;;;;;;;;;52116.8;36895.8;23615.8;;
4121;Q3;;;;;;;;;55243.0;39916.6;26443.6;;
