Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
5514;Max;9587;9571;9531;9494;9506;9460;9464;9459;9521;9509;9526;9580;9587
5514;Mn;9522;9514;9494;9455;9445;9437;9439;9442;9452;9472;9491;9506;9547
5514;Md;9520;9514;9489;9456;9444;9436;9440;9439;9453;9468;9490;9509;9547
5514;S;36.21;34.09;25.68;21.36;25.59;15.76;13.58;13.11;26.48;21.30;20.50;33.36;22.58
5514;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
3013;N;29;29;29;29;30;28;30;29;29;29;29;29;27
3013;Min;9013;8987;9006;8993;8972;8989;9012;9011;9008;9020;8999;9038;9091
3013;Q1;9066;9050;9047;9013;9009;9022;9029;9020;9021;9033;9052;9059;9104
3013;Q2;9086;9082;9065;9029;9031;9031;9041;9037;9045;9055;9066;9078;9123
3013;Q3;9116;9101;9082;9048;9045;9039;9047;9043;9051;9071;9079;9092;9131
3013;Q4;9131;9126;9098;9067;9063;9054;9056;9053;9063;9081;9093;9128;9144
3013;Max;9169;9183;9158;9093;9110;9066;9068;9071;9108;9093;9114;9147;9183
3013;Mn;9095;9091;9078;9035;9035;9034;9043;9039;9049;9061;9068;9083;9126
3013;Md;9098;9089;9072;9039;9036;9035;9043;9040;9048;9060;9068;9088;9127
3013;S;36.84;41.59;32.49;26.52;28.99;19.26;13.46;16.26;24.39;21.10;26.43;32.60;22.12
3013;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4642E;N;24;26;26;26;25;27;25;24;27;27;27;27;20
4642E;Min;10196;10225;10210;10188;10178;10157;10163;10164;10176;10196;10225;10222;10254
4642E;Q1;10283;10264;10243;10221;10193;10183;10171;10175;10188;10212;10253;10271;10322
4642E;Q2;10314;10287;10266;10240;10203;10190;10182;10183;10198;10220;10267;10290;10329
4642E;Q3;10327;10302;10283;10249;10213;10199;10188;10187;10204;10239;10273;10310;10342
4642E;Q4;10343;10337;10298;10258;10227;10211;10202;10192;10222;10256;10284;10318;10353
4642E;Max;10387;10366;10322;10299;10259;10242;10215;10204;10259;10272;10314;10376;10387
4642E;Mn;10321;10296;10275;10245;10206;10196;10186;10187;10200;10232;10270;10303;10334
4642E;Md;10313;10296;10271;10242;10210;10195;10186;10184;10205;10233;10270;10296;10333
4642E;S;40.17;37.68;28.79;24.15;18.77;17.64;14.42;8.95;19.91;21.67;20.94;34.87;31.44
4642E;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9898;N;25;26;26;28;27;27;26;28;27;26;23;26;20
9898;Min;9577;9563;9584;9546;9528;9546;9557;9561;9570;9575;9560;9579;9645
9898;Q1;9637;9626;9612;9574;9578;9576;9578;9578;9587;9589;9611;9627;9673
9898;Q2;9653;9650;9629;9598;9591;9583;9591;9592;9593;9608;9627;9645;9702
9898;Q3;9678;9674;9651;9616;9606;9602;9602;9595;9608;9632;9650;9671;9718
9898;Q4;9713;9695;9664;9632;9617;9618;9617;9604;9624;9643;9669;9714;9754
9898;Max;9835;9769;9731;9651;9677;10289;9627;9635;9652;9661;9680;9727;10289
9898;Mn;9671;9668;9639;9610;9598;9591;9599;9594;9605;9622;9643;9657;9712
9898;Md;9675;9662;9640;9604;9597;9619;9597;9593;9605;9618;9637;9663;9741
9898;S;54.84;42.90;31.60;28.36;28.44;135.59;19.15;17.39;21.85;26.62;30.75;42.65;135.93
9898;Cv;0.01;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.01
5270B;N;19;21;21;19;21;17;20;22;22;21;22;20;11
5270B;Min;9559;9580;9565;9496;9468;9521;9513;9526;9547;9547;9586;9584;
5270B;Q1;9619;9619;9602;9577;9552;9547;9545;9548;9561;9573;9611;9604;
5270B;Q2;9646;9642;9614;9583;9566;9562;9560;9554;9571;9586;9618;9636;
5270B;Q3;9662;9658;9631;9606;9587;9571;9569;9568;9578;9604;9629;9648;
5270B;Q4;9672;9687;9652;9618;9594;9577;9574;9577;9595;9622;9639;9665;
5270B;Max;9769;9753;9660;9642;9632;9601;9594;9581;9631;9629;9662;9708;
5270B;Mn;9660;9651;9630;9587;9575;9567;9567;9557;9574;9599;9622;9641;
5270B;Md;9652;9652;9622;9592;9573;9564;9561;9561;9578;9595;9624;9638;
5270B;S;43.49;41.87;28.19;32.31;34.63;20.07;18.38;15.06;19.75;23.89;18.77;31.81;
5270B;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
9170;N;30;30;30;30;30;30;30;30;30;29;30;30;29
9170;Min;9816;9801;9822;9789;9776;9776;9785;9781;9789;9814;9799;9837;9882
9170;Q1;9877;9861;9853;9823;9803;9801;9814;9816;9815;9839;9859;9859;9931
9170;Q2;9895;9893;9876;9839;9830;9832;9836;9824;9826;9849;9880;9893;9940
9170;Q3;9932;9911;9895;9861;9844;9839;9843;9829;9838;9866;9892;9913;9946
9170;Q4;9947;9943;9905;9878;9864;9852;9849;9839;9855;9883;9902;9937;9957
9170;Max;9979;9998;9957;9896;9889;9879;9867;9865;9867;9901;9935;9965;9998
9170;Mn;9921;9901;9886;9851;9836;9833;9840;9826;9832;9857;9884;9897;9943
9170;Md;9912;9901;9883;9849;9834;9830;9834;9827;9832;9859;9879;9900;9941
9170;S;42.23;44.23;31.32;29.03;29.47;26.60;19.67;15.53;20.53;23.98;30.21;35.45;26.62
9170;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
