Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
6000A;22.8(09);22.4(11);22.6(02);25.2(27);27.6(22);32.8(13);36.0(31);36.2(29);33.2(07);28.4(23);24.6(03);20.4(05);36.2(29/ago)
7178I;25.1(08);25.7(11);28.0(25);28.9(30);34.5(22);40.3(13);40.2(31);40.0(04);44.6(05);31.8(06);27.7(03);20.5(06);44.6(05/sep)
7228;25.4(08);26.2(13);27.6(25);28.6(16);34.4(22);39.2(13);40.6(30);40.0(04);43.6(05);32.0(02);27.6(02);19.4(06);43.6(05/sep)
7031;24.8(07);24.0(11);26.0(02);25.2(16);28.2(22);36.6(13);34.2(30);34.7(04);39.4(05);29.7(11);26.5(03);19.0(06);39.4(05/sep)
9262;16.9(07);18.1(13);21.1(30);21.7(15);29.1(21);34.0(22);37.6(19);36.2(23);35.4(04);26.9(03);20.4(03);15.8(12);37.6(19/jul)
9263D;16.2(07);18.5(21);21.8(30);22.8(15);30.2(21);35.3(22);;37.4(23);;;21.9(03);15.7(12);
1690A;20.0(24);20.3(21);21.6(24);26.2(25);32.7(04);35.6(21);41.7(18);40.9(07);41.2(06);28.9(27);25.0(02);20.2(05);41.7(18/jul)
1484C;20.7(24);17.1(21);17.4(14);21.5(19);29.5(04);29.5(21);33.8(16);38.1(07);33.7(06);24.9(28);21.4(01);19.9(04);38.1(07/ago)
1495;21.8(24);;18.5(21);;29.4(04);29.4(27);35.5(16);;36.9(06);26.3(27);;20.4(04);
2867;;14.7(10);20.0(30);21.1(26);27.7(20);34.8(21);37.6(18);37.4(23);39.0(06);;24.2(01);16.3(03);
2870;19.7(24);15.4(10);19.1(30);21.8(26);28.4(20);34.7(21);;;;28.7(03);24.3(01);16.5(10);
C929I;28.5(15);23.8(01);23.4(30);25.4(16);25.4(08);26.1(10);;29.0(10);27.0(04);27.9(17);26.2(02);26.3(02);
C430E;15.1(13);17.1(13);15.2(17);17.7(27);19.7(23);23.8(21);27.8(19);27.4(05);24.8(07);19.8(09);16.3(02);16.4(08);27.8(19/jul)
C139E;;23.0(03);22.4(28);25.8(15);25.1(10);;;;;27.8(17);;;
C449C;25.6(17);25.3(13);23.6(18);25.1(23);28.0(22);31.3(20);35.3(16);34.3(10);31.9(07);29.0(30);25.6(07);25.9(02);35.3(16/jul)
C447A;23.8(15);21.0(01);21.8(17);20.9(22);21.1(24);34.2(24);34.8(21);36.5(06);;;21.9(01);;
C429I;29.3(15);26.7(01);;;27.7(08);;;40.5(10);;32.9(29);;;
2465;19.5(24);15.5(01);17.9(26);18.3(26);25.0(04);32.0(28);35.3(26);34.7(03);36.3(06);26.1(03);21.5(01);15.3(28);36.3(06/sep)
5796;21.3(23);22.2(01);25.1(29);26.9(26);31.5(20);;42.3(19);39.9(06);44.4(05);33.5(04);27.1(02);22.2(09);
5783;21.9(23);22.8(21);25.0(29);27.7(26);32.3(20);38.5(08);42.3(19);40.4(23);44.8(05);33.6(04);26.9(03);21.6(09);44.8(05/sep)
2030;16.9(24);17.0(01);18.5(24);18.2(26);24.6(04);32.1(28);35.0(19);34.2(03);35.2(06);26.4(04);21.9(02);18.0(26);35.2(06/sep)
0016A;24.2(08);23.8(13);24.6(29);26.1(17);29.4(31);;;;;28.2(04);22.5(05);19.7(06);
9981A;25.7(08);24.6(13);25.1(25);26.5(16);30.6(29);37.6(13);37.5(31);38.1(08);41.4(05);30.2(01);24.8(02);19.0(23);41.4(05/sep)
