Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
C139E;4.1(05);27.5(19);16.6(30);1.4(17);7.5(08);1.0(16);0.0(--);0.0(--);0.5(14);8.5(25);16.9(14);18.2(20);27.5(19/feb)
C449C;2.4(05);41.0(18);20.2(30);1.0(03);6.4(10);0.0(--);0.0(--);0.0(--);0.0(--);5.2(25);19.4(04);3.4(24);41.0(18/feb)
C447A;4.4(05);70.6(18);20.7(30);25.1(06);30.3(08);4.9(10);2.0(02);0.2(25);0.3(15);56.8(25);59.8(05);13.4(24);70.6(18/feb)
C429I;0.0(--);3.8(19);0.8(30);0.4(18);0.6(25);0.0(--);0.0(--);0.0(--);0.0(--);10.5(25);4.0(06);3.0(24);10.5(25/oct)
2465;20.6(04);14.8(26);11.2(18);14.4(04);12.4(13);5.4(16);14.8(06);0.8(26);11.6(13);12.0(12);25.4(05);6.2(14);25.4(05/nov)
5796;19.5(04);13.0(10);15.4(21);38.5(04);35.6(08);0.0(--);0.3(07);0.4(15);7.0(13);27.1(12);35.9(25);9.4(02);38.5(04/abr)
5783;12.0(04);9.4(26);8.3(18);16.4(04);27.8(08);0.0(--);0.3(06);1.0(15);11.8(13);72.5(22);34.4(25);19.2(14);72.5(22/oct)
2030;31.8(10);15.8(12);13.8(19);11.6(27);12.0(06);6.0(03);10.8(20);2.6(15);5.6(13);9.4(23);19.0(04);3.8(16);31.8(10/ene)
0016A;0.5(04);18.4(26);20.4(16);20.1(04);16.3(09);10.6(15);23.1(22);0.8(09);12.1(27);17.7(12);46.3(27);17.7(15);46.3(27/nov)
9981A;3.2(04);12.8(26);22.0(14);28.6(05);21.8(09);0.8(06);3.0(11);3.6(09);13.8(23);5.2(12);63.2(26);8.8(03);63.2(26/nov)
9381I;21.2(04);17.6(27);5.6(19);12.0(29);4.6(06);23.4(29);10.8(11);;11.6(14);15.6(23);35.0(22);2.6(03);
8368U;2.8(28);6.0(26);19.4(19);7.4(04);9.2(07);10.0(29);0.6(07);17.8(16);17.7(13);6.4(09);48.0(22);4.2(16);48.0(22/nov)
3260B;11.6(04);4.4(26);17.0(18);23.6(19);10.0(09);2.0(16);0.6(05);1.4(09);4.8(13);16.4(12);23.2(25);;
8416;0.6(15);1.3(06);2.8(07);11.6(04);14.2(08);1.2(04);0.0(--);27.7(10);32.8(13);16.2(21);130.0(27);74.0(18);130.0(27/nov)
8414A;1.0(14);0.9(06);4.8(07);9.1(04);13.7(08);2.7(30);0.1(07);16.4(10);19.3(23);25.1(21);112.1(27);54.4(18);112.1(27/nov)
2422;32.4(04);11.4(26);8.8(19);15.6(16);4.6(05);2.0(15);8.0(04);0.0(--);10.4(13);23.8(12);15.6(04);6.4(14);32.4(04/ene)
2539;30.9(04);6.8(24);5.0(18);14.9(14);10.6(07);2.0(16);5.7(04);1.1(25);8.2(13);14.6(12);13.0(04);5.5(14);30.9(04/ene)
2614;36.0(04);9.6(06);9.6(18);21.2(19);13.8(05);0.6(15);1.6(04);2.0(26);9.2(13);14.0(24);12.6(04);12.8(15);36.0(04/ene)
9390;24.3(04);12.6(27);5.4(09);15.7(04);8.6(10);20.0(03);22.7(04);4.9(16);17.4(23);11.8(23);33.9(22);2.9(03);33.9(22/nov)
9434;21.9(04);18.0(27);20.1(19);24.1(04);6.4(06);0.6(16);12.4(04);2.8(15);1.8(15);11.2(13);30.2(22);2.2(16);30.2(22/nov)
