Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
8019;Q4;10252;10235;10203;10162;10168;10173;10167;10162;10178;10195;10200;10241;10175
8019;Max;10322;10282;10262;10173;10188;10187;10179;10176;10189;10219;10249;10260;10182
8019;Mn;10210;10192;10180;10144;10151;10164;10158;10155;10154;10165;10174;10197;10171
8019;Md;10217;10196;10179;10144;10149;10159;10157;10151;10159;10166;10175;10196;10170
8019;S;46.26;46.12;33.72;17.12;20.43;17.31;10.36;11.80;17.65;25.96;30.96;43.24;8.17
8019;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
6325O;N;30;30;29;30;29;29;29;28;29;30;28;29;26
6325O;Min;10097;10090;10113;10107;10097;10113;10130;10120;10129;10122;10122;10106;10144
6325O;Q1;10169;10160;10153;10130;10129;10138;10138;10133;10139;10144;10145;10164;10162
6325O;Q2;10198;10183;10168;10140;10139;10151;10144;10140;10147;10155;10164;10186;10165
6325O;Q3;10235;10202;10187;10145;10146;10157;10151;10147;10163;10170;10181;10202;10168
6325O;Q4;10253;10236;10197;10158;10161;10162;10155;10151;10169;10185;10191;10233;10175
6325O;Max;10316;10273;10245;10168;10181;10172;10169;10163;10177;10209;10243;10257;10180
6325O;Mn;10206;10190;10180;10142;10144;10153;10148;10146;10151;10162;10168;10196;10166
6325O;Md;10212;10194;10176;10142;10143;10150;10147;10143;10154;10163;10172;10195;10167
6325O;S;47.23;41.86;29.70;14.62;17.65;14.31;9.37;10.51;14.71;22.01;29.17;39.99;7.38
6325O;Cv;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
9091O;N;30;30;30;30;28;30;29;29;29;29;30;29;27
9091O;Min;10079;10078;10095;10081;10110;10122;10146;10135;10126;10120;10098;10094;10153
9091O;Q1;10170;10172;10153;10131;10133;10155;10163;10156;10154;10134;10141;10142;10181
9091O;Q2;10214;10200;10188;10156;10152;10171;10172;10167;10167;10161;10184;10200;10183
9091O;Q3;10247;10224;10207;10166;10163;10182;10175;10174;10179;10180;10198;10228;10187
9091O;Q4;10286;10260;10226;10176;10179;10190;10185;10184;10193;10211;10236;10253;10193
9091O;Max;10354;10291;10291;10191;10210;10203;10203;10188;10208;10236;10278;10304;10198
9091O;Mn;10226;10219;10200;10159;10158;10174;10175;10170;10174;10170;10190;10212;10184
9091O;Md;10230;10211;10194;10155;10156;10173;10174;10169;10173;10173;10188;10205;10184
9091O;S;59.72;50.78;42.60;25.99;25.58;18.51;13.84;13.73;21.62;32.70;44.56;57.48;10.04
9091O;Cv;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00
1212E;N;29;30;30;30;30;30;30;29;29;29;29;29;28
1212E;Min;10039;10064;10077;10068;10120;10127;10162;10142;10123;10107;10073;10080;10155
1212E;Q1;10153;10167;10147;10131;10131;10170;10179;10170;10156;10131;10142;10126;10174
1212E;Q2;10202;10183;10187;10155;10160;10184;10186;10177;10175;10151;10171;10180;10180
1212E;Q3;10231;10216;10203;10174;10174;10192;10193;10186;10185;10172;10189;10219;10185
1212E;Q4;10269;10247;10230;10184;10191;10203;10199;10195;10202;10203;10228;10238;10192
1212E;Max;10329;10283;10282;10198;10231;10214;10219;10202;10214;10227;10263;10294;10204
1212E;Mn;10214;10207;10195;10165;10169;10187;10191;10186;10175;10154;10183;10211;10182
1212E;Md;10213;10199;10191;10157;10164;10185;10190;10181;10177;10164;10178;10191;10182
1212E;S;63.12;52.76;45.96;30.68;29.60;19.39;13.61;14.36;23.78;35.33;48.88;60.23;11.81
