Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
9091O;Min;82.0;87.0;97.0;91.0;144.0;103.0;132.0;121.0;99.0;80.0;58.0;101.0;
9091O;Q1;148.0;137.8;144.2;171.2;168.2;151.8;156.0;140.0;116.8;130.6;143.0;163.8;
9091O;Q2;176.0;164.6;188.2;194.4;177.8;175.2;183.0;165.0;149.6;158.0;167.0;180.8;
9091O;Q3;197.0;211.4;215.8;214.6;191.2;188.6;189.0;195.0;166.4;172.4;194.0;210.2;
9091O;Q4;248.0;234.2;255.0;249.6;213.2;202.4;218.0;215.0;185.8;191.8;209.0;228.6;
9091O;Max;291.0;332.0;318.0;275.0;271.0;249.0;292.0;270.0;206.0;273.0;312.0;329.0;
9091O;Mn;185.0;189.5;203.0;201.5;185.0;182.0;184.0;175.0;156.0;165.0;187.5;186.0;
9091O;Md;193.5;192.4;203.8;202.8;193.3;180.6;188.8;177.8;155.3;166.5;181.7;198.6;
9091O;S;52.06;58.22;58.41;44.47;34.18;35.25;37.38;37.78;32.55;44.78;50.29;49.30;
9091O;Cv;0.27;0.30;0.29;0.22;0.18;0.20;0.20;0.21;0.21;0.27;0.28;0.25;
1212E;N;7;7;10;8;7;10;9;7;8;9;9;5;0
1212E;Min;;;;;;;;;;;;;
1212E;Q1;;;;;;;;;;;;;
1212E;Q2;;;;;;;;;;;;;
1212E;Q3;;;;;;;;;;;;;
1212E;Q4;;;;;;;;;;;;;
1212E;Max;;;;;;;;;;;;;
1212E;Mn;;;;;;;;;;;;;
1212E;Md;;;;;;;;;;;;;
1212E;S;;;;;;;;;;;;;
1212E;Cv;;;;;;;;;;;;;
1208H;N;0;0;0;0;0;0;0;0;0;0;0;0;0
1208H;Min;;;;;;;;;;;;;
1208H;Q1;;;;;;;;;;;;;
1208H;Q2;;;;;;;;;;;;;
1208H;Q3;;;;;;;;;;;;;
1208H;Q4;;;;;;;;;;;;;
1208H;Max;;;;;;;;;;;;;
1208H;Mn;;;;;;;;;;;;;
1208H;Md;;;;;;;;;;;;;
1208H;S;;;;;;;;;;;;;
1208H;Cv;;;;;;;;;;;;;
1249I;N;29;30;30;29;29;26;30;30;29;30;30;29;22
1249I;Min;109.0;131.0;128.0;122.0;117.0;119.0;117.0;114.0;115.0;106.0;127.0;139.0;146.0
1249I;Q1;143.0;154.8;151.0;157.0;135.0;136.2;134.0;128.0;130.0;144.6;146.4;153.0;150.6
1249I;Q2;176.0;180.2;192.4;186.0;156.0;162.6;145.4;139.8;143.0;155.4;160.0;167.0;178.0
1249I;Q3;195.0;206.2;219.0;209.0;174.0;171.4;154.2;151.4;168.0;162.8;197.8;202.0;193.0
1249I;Q4;243.0;236.2;236.8;235.0;198.0;182.4;184.6;164.8;186.0;203.0;230.2;238.0;210.0
1249I;Max;345.0;305.0;286.0;341.0;220.0;205.0;224.0;188.0;206.0;271.0;281.0;387.0;222.0
1249I;Mn;182.0;194.5;207.5;199.0;161.0;168.0;149.0;148.0;156.0;159.0;176.5;188.0;184.5
1249I;Md;198.0;199.7;200.7;200.9;166.0;162.1;157.3;146.9;157.6;170.7;186.2;197.1;183.4
1249I;S;57.05;45.32;42.23;48.63;29.03;24.51;27.71;18.67;27.57;37.39;42.67;54.39;24.36
1249I;Cv;0.29;0.23;0.21;0.24;0.17;0.15;0.18;0.13;0.17;0.22;0.23;0.28;0.13
2444;N;16;18;19;17;16;14;15;15;15;17;15;18;2
2444;Min;109.0;130.0;143.0;185.0;141.0;;152.0;145.0;129.0;124.0;163.0;138.0;
2444;Q1;160.6;190.8;201.0;206.2;199.2;;169.0;154.0;161.0;181.2;190.4;182.0;
2444;Q2;198.8;221.8;230.0;226.4;211.0;;191.4;199.8;186.8;214.4;228.4;211.0;
2444;Q3;214.2;239.0;251.0;261.8;245.2;;200.2;217.6;191.6;230.8;241.6;246.2;
2444;Q4;251.6;246.6;284.0;284.6;250.6;;225.2;230.6;214.6;241.0;255.6;266.2;
2444;Max;267.0;284.0;330.0;305.0;287.0;;258.0;251.0;230.0;259.0;317.0;361.0;
2444;Mn;208.5;232.0;235.0;240.0;232.0;;195.0;216.0;190.0;224.0;238.0;227.0;
2444;Md;203.7;222.4;238.9;245.2;222.8;;198.7;201.3;186.5;211.0;230.5;229.1;
2444;S;43.37;38.63;45.46;37.14;39.42;;29.00;34.77;29.07;37.59;38.38;52.80;
2444;Cv;0.21;0.17;0.19;0.15;0.18;;0.15;0.17;0.16;0.18;0.17;0.23;
4452;N;29;29;30;29;26;29;28;28;28;29;28;29;18
4452;Min;127.0;159.0;173.0;233.0;208.0;248.0;223.0;203.0;180.0;148.0;147.0;152.0;230.0
4452;Q1;159.0;203.0;243.0;237.0;254.8;257.0;259.6;237.8;202.2;193.0;191.6;196.0;244.8
4452;Q2;200.0;239.0;257.0;268.0;267.8;268.0;269.0;249.6;219.6;216.0;210.0;230.0;250.2
4452;Q3;230.0;274.0;272.4;292.0;289.2;285.0;280.4;266.0;234.4;245.0;246.2;260.0;258.8
4452;Q4;297.0;297.0;297.6;332.0;320.2;304.0;294.4;280.0;261.4;270.0;265.6;283.0;281.0
4452;Max;322.0;375.0;370.0;409.0;389.0;344.0;337.0;324.0;295.0;332.0;340.0;424.0;295.0
4452;Mn;221.0;252.0;267.5;276.0;281.0;272.0;275.0;254.5;229.0;225.0;227.0;245.0;253.5
