Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
7228;Cv;0.28;0.21;0.27;0.13;0.15;0.17;0.23;0.16;0.21;0.25;0.20;0.20;
7031;N;26;28;28;26;29;27;26;28;26;27;23;27;15
7031;Min;51.0;46.0;58.0;56.0;43.0;43.0;40.0;42.0;46.0;48.0;50.0;57.0;72.0
7031;Q1;61.0;58.0;65.8;64.4;61.0;52.0;44.6;48.8;52.4;56.4;57.6;61.6;77.4
7031;Q2;67.4;67.0;71.6;67.0;65.0;59.0;54.8;55.6;58.8;65.0;61.0;68.4;87.4
7031;Q3;73.6;73.8;76.4;72.0;68.0;65.0;61.2;61.0;65.2;69.8;65.0;76.0;93.2
7031;Q4;90.6;85.6;93.4;76.6;77.0;72.4;67.6;72.0;75.2;78.4;75.2;84.2;107.2
7031;Max;104.0;104.0;108.0;87.0;84.0;108.0;72.0;83.0;83.0;104.0;96.0;113.0;113.0
7031;Mn;70.5;68.5;75.5;68.0;67.0;61.0;59.0;58.5;62.0;68.0;62.0;72.0;88.0
7031;Md;74.0;71.8;78.5;70.4;67.2;63.4;57.2;59.8;62.8;67.5;66.4;74.3;91.0
7031;S;14.53;15.03;14.13;8.16;8.84;13.44;10.49;11.38;11.12;12.08;11.95;14.12;13.01
7031;Cv;0.20;0.21;0.18;0.12;0.13;0.21;0.18;0.19;0.18;0.18;0.18;0.19;0.14
9262;N;0;0;0;0;0;0;0;0;0;0;0;0;0
9262;Min;;;;;;;;;;;;;
9262;Q1;;;;;;;;;;;;;
9262;Q2;;;;;;;;;;;;;
9262;Q3;;;;;;;;;;;;;
9262;Q4;;;;;;;;;;;;;
9262;Max;;;;;;;;;;;;;
9262;Mn;;;;;;;;;;;;;
9262;Md;;;;;;;;;;;;;
9262;S;;;;;;;;;;;;;
9262;Cv;;;;;;;;;;;;;
9263D;N;21;21;21;21;22;22;23;20;22;19;18;19;5
9263D;Min;50.0;54.0;51.0;54.0;46.0;49.0;50.0;52.0;45.0;53.0;40.0;48.0;
9263D;Q1;55.4;61.0;56.4;58.0;62.2;51.8;57.6;58.2;55.2;59.0;56.0;55.0;
9263D;Q2;70.8;64.8;62.4;64.6;67.4;56.6;61.0;65.4;61.4;65.0;60.6;63.0;
9263D;Q3;76.2;74.4;76.2;68.8;74.0;65.0;66.2;71.6;65.0;72.0;67.0;64.0;
9263D;Q4;79.2;88.6;78.6;81.8;77.4;76.6;79.0;80.8;68.8;76.0;80.4;73.0;
9263D;Max;84.0;130.0;86.0;101.0;91.0;93.0;115.0;99.0;79.0;94.0;110.0;87.0;
9263D;Mn;72.0;74.0;71.0;65.0;69.5;62.0;63.0;68.0;63.5;68.0;64.0;63.0;
9263D;Md;69.8;75.2;68.9;69.5;70.1;63.6;68.4;70.0;62.5;69.1;67.8;65.1;
9263D;S;10.97;18.85;11.46;12.59;10.86;12.97;14.94;13.22;8.26;10.38;16.91;11.27;
9263D;Cv;0.16;0.25;0.17;0.18;0.15;0.20;0.22;0.19;0.13;0.15;0.25;0.17;
1690A;N;20;18;21;21;20;20;21;18;21;17;21;19;4
1690A;Min;40.0;35.0;34.0;39.0;38.0;38.0;32.0;35.0;35.0;40.0;37.0;33.0;
1690A;Q1;41.2;42.6;46.4;43.8;42.6;40.4;39.0;42.0;40.4;43.0;40.4;41.0;
1690A;Q2;49.4;48.8;50.8;48.6;47.4;45.0;41.0;45.0;44.0;49.0;48.0;48.0;
1690A;Q3;56.2;60.2;52.2;53.6;51.8;48.0;43.4;47.2;45.2;53.8;50.4;56.0;
1690A;Q4;62.4;71.4;60.0;66.2;56.0;50.8;48.0;54.0;52.8;66.8;57.2;63.0;
1690A;Max;75.0;90.0;66.0;76.0;67.0;65.0;81.0;64.0;55.0;73.0;64.0;83.0;
1690A;Mn;53.5;56.0;52.0;51.0;48.5;46.0;42.0;45.5;45.0;50.0;49.0;51.0;
1690A;Md;54.0;57.3;52.5;53.5;50.5;47.4;44.8;47.5;45.6;53.8;49.2;53.1;
1690A;S;11.24;15.66;7.76;10.91;8.28;7.45;10.28;8.04;5.73;10.73;7.98;12.36;
1690A;Cv;0.21;0.27;0.15;0.20;0.16;0.16;0.23;0.17;0.13;0.20;0.16;0.23;
1484C;N;18;17;20;20;20;21;22;18;21;16;17;17;3
1484C;Min;41.0;31.0;37.0;38.0;41.0;35.0;36.0;37.0;39.0;37.0;41.0;41.0;
1484C;Q1;57.4;51.8;54.4;49.2;46.0;41.2;42.6;43.0;44.0;47.8;51.0;47.2;
1484C;Q2;65.8;61.8;60.4;54.8;51.4;46.0;47.0;47.0;47.8;52.8;58.0;59.4;
1484C;Q3;75.4;65.8;65.6;61.0;58.0;50.0;50.0;50.8;52.4;58.8;64.2;66.2;
1484C;Q4;81.4;72.0;67.8;68.0;63.0;63.0;52.4;54.6;59.2;71.8;71.4;79.2;
1484C;Max;107.0;90.0;83.0;75.0;70.0;80.0;62.0;72.0;70.0;90.0;78.0;101.0;
1484C;Mn;72.0;65.0;62.5;60.0;54.5;49.0;48.0;49.0;50.0;55.5;59.0;62.0;
1484C;Md;70.2;62.5;61.7;58.3;55.2;50.9;48.5;50.2;51.9;58.6;60.5;64.5;
1484C;S;14.95;13.99;10.79;10.04;8.77;11.61;6.52;8.07;9.19;14.52;9.65;16.70;
1484C;Cv;0.21;0.22;0.17;0.17;0.16;0.23;0.13;0.16;0.18;0.25;0.16;0.26;
1495;N;24;28;25;27;27;27;25;26;25;26;24;25;15
1495;Min;50.0;45.0;45.0;47.0;36.0;45.0;37.0;42.0;39.0;40.0;40.0;34.0;86.0
1495;Q1;61.0;60.4;52.4;58.0;49.6;47.0;45.4;45.4;48.4;58.0;58.0;57.4;93.0
1495;Q2;72.0;67.6;61.8;60.2;54.4;56.0;48.0;49.6;52.4;60.6;62.0;65.0;97.0
1495;Q3;76.0;73.8;71.6;70.0;58.8;58.0;50.0;51.2;56.0;72.2;68.0;75.2;101.6
1495;Q4;94.0;85.0;77.8;76.4;68.0;67.4;54.8;55.6;66.6;87.4;85.0;90.8;109.2
1495;Max;102.0;105.0;97.0;100.0;85.0;82.0;61.0;65.0;86.0;122.0;111.0;121.0;122.0
1495;Mn;75.0;71.5;66.0;65.0;58.0;57.0;49.0;50.0;54.0;64.0;63.0;69.0;99.0
1495;Md;76.1;72.3;66.7;66.6;58.0;57.8;49.6;51.5;57.6;70.9;70.1;73.1;100.8
1495;S;15.09;13.86;12.81;12.74;10.54;10.01;5.91;6.45;12.76;18.77;16.54;19.06;10.28
1495;Cv;0.20;0.19;0.19;0.19;0.18;0.17;0.12;0.13;0.22;0.26;0.24;0.26;0.10
2867;N;25;24;26;27;26;24;23;26;24;24;23;24;6
2867;Min;41.0;54.0;46.0;52.0;52.0;48.0;44.0;45.0;44.0;41.0;48.0;46.0;
2867;Q1;59.0;59.0;58.0;57.0;59.0;56.0;50.0;50.8;54.0;52.0;56.6;59.0;
2867;Q2;68.8;67.0;66.6;63.4;62.0;61.0;55.2;58.0;56.0;59.0;66.8;70.0;
2867;Q3;83.0;77.0;72.0;71.6;68.8;68.0;66.4;62.2;65.0;72.0;74.0;82.0;
2867;Q4;93.8;95.0;77.8;82.4;75.2;72.0;72.0;76.0;71.0;79.0;82.8;86.0;
2867;Max;119.0;115.0;96.0;97.0;86.0;94.0;81.0;103.0;83.0;119.0;113.0;121.0;
2867;Mn;72.0;72.0;68.0;67.0;66.0;65.0;59.0;59.0;60.0;65.0;69.0;75.5;
2867;Md;74.9;76.5;68.7;69.5;67.2;65.3;60.8;64.5;61.8;69.8;70.7;76.0;
2867;S;19.66;16.95;11.55;12.47;8.53;11.67;10.44;15.80;10.68;21.18;16.16;18.57;
2867;Cv;0.26;0.22;0.17;0.18;0.13;0.18;0.17;0.24;0.17;0.30;0.23;0.24;
2870;N;18;15;17;20;22;18;19;18;21;17;18;15;2
2870;Min;41.0;49.0;43.0;44.0;42.0;47.0;43.0;40.0;38.0;44.0;41.0;50.0;
2870;Q1;48.8;52.4;49.0;52.4;50.8;51.0;48.0;47.6;43.8;48.8;44.8;51.4;
2870;Q2;59.6;61.8;59.0;57.8;57.4;54.6;51.0;49.6;48.0;53.0;53.6;59.2;
2870;Q3;70.2;67.0;64.0;65.0;60.8;57.4;55.0;53.0;56.2;59.6;58.2;74.0;
2870;Q4;77.2;74.0;69.0;72.8;66.4;63.8;65.0;66.0;62.6;64.4;67.8;84.2;
2870;Max;99.0;97.0;79.0;77.0;69.0;82.0;75.0;83.0;115.0;89.0;79.0;95.0;
2870;Mn;65.5;67.0;63.0;61.5;59.5;57.0;52.0;50.5;54.0;54.0;54.5;65.0;
2870;Md;64.2;66.3;60.4;61.6;58.4;57.8;54.8;55.2;55.2;57.4;57.2;67.9;
2870;S;16.02;13.81;10.24;9.75;7.43;8.34;8.68;12.40;15.95;10.75;11.19;15.53;
2870;Cv;0.25;0.21;0.17;0.16;0.13;0.14;0.16;0.22;0.29;0.19;0.20;0.23;
C929I;N;20;19;21;21;22;22;18;18;20;17;22;21;6
